,technique_id,is_subtechnique,technique,tactic,platform,data_source,data_component,relationship_id,name,source,relationship,target,event_id,event_name,event_platform,audit_category,audit_sub_category,channel,log_source,filter_in,event_identity,source_identity
49,T1505.005,True,terminal services dll,persistence,Windows,module,module load,REL-2022-0178,Process loaded Module,process,loaded,module,7,image loaded.,windows,ImageLoad,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|7|image loaded.,windows|module|module load
50,T1505.005,True,terminal services dll,persistence,Windows,module,module load,REL-2022-0178,Process loaded Module,process,loaded,module,DeviceImageLoadEvents,deviceimageloadevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""ImageLoaded""}",windows|microsoft defender for endpoint|DeviceImageLoadEvents|deviceimageloadevents,windows|module|module load
51,T1505.005,True,terminal services dll,persistence,Windows,process,process creation,REL-2022-0146,User created Process,user,created,process,4688,a new process has been created.,windows,Detailed Tracking,Process Creation,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4688|a new process has been created.,windows|process|process creation
52,T1505.005,True,terminal services dll,persistence,Windows,process,process creation,REL-2022-0146,User created Process,user,created,process,1,process creation.,windows,ProcessCreate,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|1|process creation.,windows|process|process creation
53,T1505.005,True,terminal services dll,persistence,Windows,process,process creation,REL-2022-0146,User created Process,user,created,process,DeviceProcessEvents,deviceprocessevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""ProcessCreated""}",windows|microsoft defender for endpoint|DeviceProcessEvents|deviceprocessevents,windows|process|process creation
54,T1505.005,True,terminal services dll,persistence,Windows,process,process creation,REL-2022-0153,Process created Thread,process,created,thread,8,createremotethread.,windows,CreateRemoteThread,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|8|createremotethread.,windows|process|process creation
55,T1505.005,True,terminal services dll,persistence,Windows,process,process creation,REL-2022-0153,Process created Thread,process,created,thread,DeviceEvents,deviceevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""CreateRemoteThreadApiCall""}",windows|microsoft defender for endpoint|DeviceEvents|deviceevents,windows|process|process creation
56,T1505.005,True,terminal services dll,persistence,Windows,process,process creation,REL-2022-0175,Process created Process,process,created,process,4688,a new process has been created.,windows,Detailed Tracking,Process Creation,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4688|a new process has been created.,windows|process|process creation
57,T1505.005,True,terminal services dll,persistence,Windows,process,process creation,REL-2022-0175,Process created Process,process,created,process,1,process creation.,windows,ProcessCreate,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|1|process creation.,windows|process|process creation
58,T1505.005,True,terminal services dll,persistence,Windows,process,process creation,REL-2022-0175,Process created Process,process,created,process,DeviceProcessEvents,deviceprocessevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""ProcessCreated""}",windows|microsoft defender for endpoint|DeviceProcessEvents|deviceprocessevents,windows|process|process creation
